NameDB,PSR J0437-4715,PSR J0437-4715
NameSimbad,PSR J0437-47,PSR J0437-47
ClassDB,Cold MSP,Cold MSP
ClassSimbad,Psr,Psr
RA,69.315831,69.315831
DEC,-47.252373,-47.252373
LocalisationFile,None,None
EventDate,None,None
,,
Method,Thermal emission,Thermal emission
MethodSpecific,Spectral fitting (FUV and Xray data),Spectral fitting (FUV and Xray data)
DataDate,"FUV (Kargalstev2004 + Durant2012), X-ray (Rosat, up to 0.3 keV)","FUV (Kargalstev2004 + Durant2012), X-ray (Guillot2016, Rosat, up to 0.3 keV)"
ProcessingInfo,"See Kargalstev2004, Durant2012, Guillot2016","See Kargalstev2004, Durant2012, Guillot2016"
ConstrainVariable,M-R,M-R
ConstrainType,MCMC samples,MCMC samples
ConstrainVersion,1,1
,,
ModelDependenciesPrimary,"atmosphere,absorption,redenning,hot spots model","atmosphere,absorption,redenning,hot spots model"
ModelDependenciesSecondary,"Gonzalez2019,tbabs,Clayton2003,2 blackbodies","Gonzalez2019,tbabs,Clayton2003,ignored"
ModelDependencyDescription,"The atmosphere model used in this analysis was calculated for low-temperature atmosphere (<10^5.5 K) and includes the effect of plasma.

The absorption of X-rays was calculated using absorption tables based on the tbabs model of Wilms et al. 2000 (updated in 2016).

The frequency-dependent reddening has been implemented based on results of Clayton et al. 2003 (Fig. 1).

The contribution of the two hot spots to the X-ray spectrum analysed (<0.3 keV) was included using 2 blackbody components.","The atmosphere model used in this analysis was calculated for low-temperature atmosphere (<10^5.5 K) and includes the effect of plasma.

The absorption of X-rays was calculated using absorption tables based on the tbabs model of Wilms et al. 2000 (updated in 2016).

The frequency-dependent reddening has been implemented based on results of Clayton et al. 2003 (Fig.1).

The contribution of the hot spots to the X-ray spectrum analysed (<0.3 keV) was ignored."
ModelDependencyReferences,"2019MNRAS.490.5848G 

2000ApJ...542..914W

2003ApJ...585..464C

2019MNRAS.490.5848G ","2019MNRAS.490.5848G 

2000ApJ...542..914W

2003ApJ...585..464C

2019MNRAS.490.5848G "
AssumptionsPrimary,"Atmosphere Composition,Magnetic field,Rotation,Emitting fraction,Interstellar medium,Prior,Prior,Prior","Atmosphere Composition,Magnetic field,Rotation,Emitting fraction,Interstellar medium,Prior,Prior"
AssumptionsSecondary,"hydrogen,non-magnetic,non-rotating,uniform full surface,solar abundances,distance prior,mass prior,reddening prior","helium,non-magnetic,non-rotating,uniform full surface,solar abundances,distance prior,mass prior"
AssumptionsDescription,"At the surface of a neutron star, elements stratify on time scales of minutes/hours leaving the lightest on top (Romani 1987). Also, the thickness of the last scattering layer of a NS is on the order of a few cm. Therefore, it is common to assume a single composition, being that of the lightest element. Hydrogen is therefore a reasonable assumption for the composition, especially for a NS that has accreted matter from a companion star. Other effects are in competition and may put some uncertainties on the surface composition, namely, accretion from the interstellar medium, diffuse nuclear burning of light of H into He (Chang & Bildsten 2003, 2004), and spallation of heavier elements into lighter ones (Bildsten et al. 1992).

This analyses also assume emission from a low-magnetic field neutron stars (as typically measured for MSPs, specifically B_dip ~ 2.8e8 G for PSR J0437-4715). The atmosphere model is that of a non-magnetised atmosphere, which is a good approximation as B-field effect (modified opacities) become important above 1e10 G (Kaminker et al., 1983; Zavlin et al., 1996). However, this neglects potential high-magnetic loop near the NS surface.

The relativistic effects of rotation on the emergent spectrum are neglected in this analysis. However, the effects on the radius are < 1 km at the rotational frequency of PSR J0437-4715 (173.6 Hz), see Baubock et al. 2015). 

The analysis assumes that the full surface is emitting uniformly at the same temperature (modulo the contribution of the hot spots).

The modelling of the x-ray absorption (with the tbabs model) assumes solar abundances for the interstellar medium, a reasonable assumption for a pulsar located at 156 pc.

The radio timing of the pulsar provided priors on the pulsar mass (1.44Msun), see Reardon et al. 2016. No uncertainties on this measurement was included in the analysis. 

The radio timing of the pulsar provided priors on the pulsar distance (156.79 pc), see Reardon et al. 2016. No uncertainties on this measurement was included in the analysis.

The reddening was also provided as a prior, using estimation for Galactic dust maps: E(B-V) = 0.002+/-0.014 (Lallement et al. 2018).
","At the surface of a neutron star, elements stratify on time scales of minutes/hours leaving the lightest on top (Romani 1987). Also, the thickness of the last scattering layer of a NS is on the order of a few cm. Therefore, it is common to assume a single composition, being that of the lightest element. If no Hydrogen is present in the system, the next expected element is Helium, which is a possibility if the NS has accreted only Helium from a companion star. Other effects are in competition and may put some uncertainties on the surface composition, namely, accretion from the interstellar medium, diffuse nuclear burning of light of H into He (Chang & Bildsten 2003, 2004), and spallation of heavier elements into lighter ones (Bildsten et al. 1992).

This analyses also assume emission from a low-magnetic field neutron stars (as typically measured for MSPs, specifically B_dip ~ 2.8e8 G for PSR J0437-4715). The atmosphere model is that of a non-magnetised atmosphere, which is a good approximation as B-field effect (modified opacities) become important above 1e10 G (Kaminker et al., 1983; Zavlin et al., 1996). However, this neglects potential high-magnetic loop near the NS surface.

The relativistic effects of rotation on the emergent spectrum are neglected in this analysis. However, the effects on the radius are < 1 % at the rotational frequency of PSR J0437-4715 (173.6 Hz), see Baubock et al. 2015. 

The analysis assumes that the full surface is emitting uniformly at the same temperature (modulo the contribution of the hot spots).

The modelling of the x-ray absorption (with the tbabs model) assumes solar abundances for the interstellar medium, a reasonable assumption for a pulsar located at 156 pc.

The radio timing of the pulsar provided priors on the pulsar mass (1.44Msun), see Reardon et al. 2016. No uncertainties on this measurement was included in the analysis. 

The radio timing of the pulsar provided priors on the pulsar distance (156.79 pc), see Reardon et al. 2016. No uncertainties on this measurement was included in the analysis.
"
AssumptionsReferences,"1987ApJ...313..718R, 1992ApJ...384..143B, 2003ApJ...585..464C, 2004ApJ...616L.147C

1983Ap&SS..91..167K, 1996A&A...315..141Z, 2019MNRAS.490.5848G 

2015ApJ...799...22B

2019MNRAS.490.5848G 

2000ApJ...542..914W

2016MNRAS.455.1751R

2016MNRAS.455.1751R

2018A&A...616A.132L","1987ApJ...313..718R, 1992ApJ...384..143B, 2003ApJ...585..464C, 2004ApJ...616L.147C

1983Ap&SS..91..167K, 1996A&A...315..141Z, 2019MNRAS.490.5848G 

2015ApJ...799...22B

2019MNRAS.490.5848G 

2000ApJ...542..914W

2016MNRAS.455.1751R

2016MNRAS.455.1751R"
,,
Ref1stAuthor,Gonzalez-Canuilef,Gonzalez-Canuilef
RefYear,2019,2019
RefShort,2019MNRAS.490.5848G,2019MNRAS.490.5848G
RefBibtex,"@ARTICLE{2019MNRAS.490.5848G,
       author = {{Gonz{\'a}lez-Caniulef}, Denis and {Guillot}, Sebastien and {Reisenegger}, Andreas},
        title = ""{Neutron star radius measurement from the ultraviolet and soft X-ray thermal emission of PSR J0437-4715}"",
      journal = {\mnras},
     keywords = {dense matter, equation of state, plasmas, stars: atmospheres, stars: neutron, pulsars: individual (PSR J0437-4715), Astrophysics - High Energy Astrophysical Phenomena},
         year = 2019,
        month = dec,
       volume = {490},
       number = {4},
        pages = {5848-5859},
          doi = {10.1093/mnras/stz2941},
archivePrefix = {arXiv},
       eprint = {1904.12114},
 primaryClass = {astro-ph.HE},
       adsurl = {https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.5848G},
      adsnote = {Provided by the SAO/NASA Astrophysics Data System}
}

","@ARTICLE{2019MNRAS.490.5848G,
       author = {{Gonz{\'a}lez-Caniulef}, Denis and {Guillot}, Sebastien and {Reisenegger}, Andreas},
        title = ""{Neutron star radius measurement from the ultraviolet and soft X-ray thermal emission of PSR J0437-4715}"",
      journal = {\mnras},
     keywords = {dense matter, equation of state, plasmas, stars: atmospheres, stars: neutron, pulsars: individual (PSR J0437-4715), Astrophysics - High Energy Astrophysical Phenomena},
         year = 2019,
        month = dec,
       volume = {490},
       number = {4},
        pages = {5848-5859},
          doi = {10.1093/mnras/stz2941},
archivePrefix = {arXiv},
       eprint = {1904.12114},
 primaryClass = {astro-ph.HE},
       adsurl = {https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.5848G},
      adsnote = {Provided by the SAO/NASA Astrophysics Data System}
}

"
RefDOI,10.1093/mnras/stz2941,10.1093/mnras/stz2941
DataRepositoryDOI,None,None
DataLink,None,None
FileName,Cold_MSP_PSRJ0437-4715_2019_massradius_hydrogen_1_MCMCSamples.npy,Cold_MSP_PSRJ0437-4715_2019_massradius_helium_1_MCMCSamples.npy
H5FileName,Cold_MSP_PSRJ0437-4715_2019_massradius_hydrogen_1_MCMCSamples.h5,Cold_MSP_PSRJ0437-4715_2019_massradius_helium_1_MCMCSamples.h5
