NameDB,PSR J1614-2230,PSR J1614-2230,PSR J0740+6620
NameSimbad,PSR J1614-2230,PSR J1614-2230,PSR J0740+6620
ClassDB,NS mass,NS mass,NS mass
ClassSimbad,Psr,Psr,Psr
RA,243.652112,243.652112,115.190829
DEC,-22.508669,-22.508669,66.342667
LocalisationFile,None,None,None
EventDate,None,None,None
,,,
Method,Pulsar timing,Pulsar timing,Pulsar timing
MethodSpecific,PK Parameters (Shapiro),PK Parameters (Shapiro),PK Parameters (Shapiro)
DataDate,NANOGrav 15-year (2008-2022),NANOGrav 11-year (2008-2016),GBT 20131214-20200406 and CHIME 20190203-20200506
ProcessingInfo,psrchive and Tempo2 packages,psrchive and Tempo2 packages,psrchive and Tempo packages
ConstrainVariable,M,M,M
ConstrainType,mean +/- 1 sigma,mean +/- 1 sigma,mean +/- 1 sigma
ConstrainVersion,1,2,1
,,,
ModelDependenciesPrimary,Shapiro delay,Shapiro delay,Dispersion measure
ModelDependenciesSecondary,m_c sini parametrization,m_c sini parametrization,DMX
ModelDependencyDescription,The Shapiro delay is estimated using the traditional Mcomp and sini parametrization.,The Shapiro delay is estimated using the traditional Mcomp and sini parametrization.,Three different piece-wise DMX models were employed in the analysis of Fonseca et al. 2021 and the averaged mass from these 3 analyses was reported.
ModelDependencyReferences,"Agazie et al. 2023, 2023ApJL..951...L9","Arzoumanian et al. 2018, 2018ApJS..235...37A","Fonseca et al. 2021, 2021ApJ...915L..12F"
AssumptionsPrimary,Gravitation theory,Gravitation theory,Gravitation theory
AssumptionsSecondary,General relativity,General relativity,General relativity
AssumptionsDescription,The estimation of the post-Keplerian parameters and Shapiro delay were done assuming general relativity as the theory of gravitation.,The estimation of the post-Keplerian parameters and Shapiro delay were done assuming general relativity as the theory of gravitation.,The estimation of the post-Keplerian parameters and Shapiro delay were done assuming general relativity as the theory of gravitation.
AssumptionsReferences,"Agazie et al. 2023, 2023ApJL..951...L9","Arzoumanian et al. 2018, 2018ApJS..235...37A","Fonseca et al. 2021, 2021ApJ...915L..12F"
,,,
Ref1stAuthor,Agazie,Arzoumanian,Fonseca
RefYear,2023,2018,2021
RefShort,2023ApJL..951...L9,2018ApJS..235...37A,2021ApJ...915L..12F
