# Mass Radius Likelihood 
1.857430292387951543e+00 1.445382865308587483e+01 1.149116449762411216e-99
2.131201197611649611e+00 1.396365051978505178e+01 1.192702716290129878e-99
1.474735300635507063e+00 1.418122454163178858e+01 1.201170410487230391e-99
1.541266437403968403e+00 1.517177267497589099e+01 1.241246978682300440e-99
1.814448900230362094e+00 1.298362510261424063e+01 1.365550512552216815e-99
1.435825916288965498e+00 1.102633779236483136e+01 1.475602107741485764e-99
1.227381030507249893e+00 1.043295971690695012e+01 1.488027240574219725e-99
1.284891670821201259e+00 1.029171586249189119e+01 1.587045469518004934e-99
1.032996140607555402e+00 9.017039893012341878e+00 1.912279616785896854e-99
1.399728605519955149e+00 1.250896590376055784e+01 2.098555247551183639e-99
1.954623094401460648e+00 1.490034541203172935e+01 2.662691269578639595e-99
1.375238722055845964e+00 1.211548097047989536e+01 2.895619445111493437e-99
1.260308030287991210e+00 9.407113322443677816e+00 2.899527882254501550e-99
1.208731970223437813e+00 8.924271035592418855e+00 2.961715974661332461e-99
1.238877368191227957e+00 1.055810709535696823e+01 3.179161857151135776e-99
2.009856100709821902e+00 1.285712566533728562e+01 3.188795342456147015e-99
1.161213537291864162e+00 9.713761569002432594e+00 3.226446792047976404e-99
1.004043132213248146e+00 1.189539005591103660e+01 3.541660666886911031e-99
1.203291940993268527e+00 1.179352914894091597e+01 3.664446159863353882e-99
1.144591335372478813e+00 8.797354212271851992e+00 3.773885551229519445e-99
1.339378892842777447e+00 1.157885881670259209e+01 3.821331547298561319e-99
1.282160301419384307e+00 1.191116935558288681e+01 4.009509302778325667e-99
1.098782485184647273e+00 8.026643312115325557e+00 4.056336973087142534e-99
1.006847822044004248e+00 9.188593246058443853e+00 4.095378361088744050e-99
1.216329210596643007e+00 1.331326511095995002e+01 4.329312626976584017e-99
1.038540883478947130e+00 8.126224528717770568e+00 4.790935277964838875e-99
1.133680831589767735e+00 9.207459152078449449e+00 5.107903492566250807e-99
1.277935749449451874e+00 1.366736396217857319e+01 5.223643003539036686e-99
1.873701121770435130e+00 1.389313172179537048e+01 5.521241879234337473e-99
1.312507161449557813e+00 1.025181963321292677e+01 5.565606300643186976e-99
1.182482980545681572e+00 1.242887523422385065e+01 6.162485466822043631e-99
1.460033830267507549e+00 1.030005436786146333e+01 6.399981829845601809e-99
1.159595672653154663e+00 1.051785163838319193e+01 6.949652096923115024e-99
1.428987559849695499e+00 1.380863841633094680e+01 7.230232113095367418e-99
1.216885971611842088e+00 1.071781578641991217e+01 7.450089217364281201e-99
1.024011185377486477e+00 1.113592706702755208e+01 7.526351210289569868e-99
1.524531436313678157e+00 1.181307047791343834e+01 7.521099540544483462e-99
1.435161488276536446e+00 1.267663237857771819e+01 8.028688867818671949e-99
1.477103789413650947e+00 1.441808328530498429e+01 9.455984826059095180e-99
1.228775740154860685e+00 1.231186358895583055e+01 9.652159386931010567e-99
1.846374293440713021e+00 1.521214330269307879e+01 9.806371960894446587e-99
1.030408179936495250e+00 8.935028250694855956e+00 1.096878357658368008e-98
1.388582005704775746e+00 1.143780662169708506e+01 1.179534577777324842e-98
1.118753593656761636e+00 1.283958992584863523e+01 1.316734665140216840e-98
1.428670573245892417e+00 1.359787988552006865e+01 1.369361472039965164e-98
1.280648011616681403e+00 1.261101998393142054e+01 1.494146588784547620e-98
1.346031077376755647e+00 1.142413014969815421e+01 1.692068659428627325e-98
1.032162896526602758e+00 1.160450703400231021e+01 1.766972846531790976e-98
1.465001318014845344e+00 1.225258817860692062e+01 1.766976119348897811e-98
1.436834326155413732e+00 1.180879510290409584e+01 1.828815036034964297e-98
1.363381604034768824e+00 1.401922898716348342e+01 1.908473204676056069e-98
1.643235151806815786e+00 1.453384979635253416e+01 1.962844812983648395e-98
1.059459196616623577e+00 1.273280212813627088e+01 2.489293124215244566e-98
1.741539262795097187e+00 1.501865161393510206e+01 2.900975010173275068e-98
1.207187578339676604e+00 1.103732737156582644e+01 2.970191132051931819e-98
1.435456041105513947e+00 1.175781462452580328e+01 3.092965740056482593e-98
1.531893307894238720e+00 1.032480614660133966e+01 3.171967529758868442e-98
1.513091132891933643e+00 1.242539823200992188e+01 3.185317133062363285e-98
2.198148570968891935e+00 1.565414826101512702e+01 3.527602962047095952e-98
1.359669055596766984e+00 1.224679383942937427e+01 3.594663904811588204e-98
1.720690545164913710e+00 1.521447417516388612e+01 3.762629955915050207e-98
1.313382050986342309e+00 1.214464383021806881e+01 3.883242003237690312e-98
1.418140215477001975e+00 1.302122400293616167e+01 3.981098876029791974e-98
1.380768440842431222e+00 1.165213898723336072e+01 4.280643523836154485e-98
1.460620891377196306e+00 1.270408964382671968e+01 4.395558913597077598e-98
1.324766076674257942e+00 9.390435747008265110e+00 4.492078057116337087e-98
1.446373400375050577e+00 1.111050422710759022e+01 4.626347720090493607e-98
1.226113685674991904e+00 1.002470386703109995e+01 4.667826504713275394e-98
1.158996437528861279e+00 9.531252707697134952e+00 4.665862164191213000e-98
1.099019236706707980e+00 1.255447948979747608e+01 4.708396718217674547e-98
1.549282820131503424e+00 1.246368803529538738e+01 4.891551851681253161e-98
1.749822760890792139e+00 1.262554352453394557e+01 5.115246648349318988e-98
1.239146600970881140e+00 9.521501937738278798e+00 5.561371785547521973e-98
1.823914996206360994e+00 1.429167576468008249e+01 6.054206543115930852e-98
1.624471281399995526e+00 1.337887307519290658e+01 6.059898643681118697e-98
1.524922897059667104e+00 1.347417637991249961e+01 6.251779385662839445e-98
1.193626171187690321e+00 1.343177323885855046e+01 6.730440162580808190e-98
1.019950709559923174e+00 9.285367653012924549e+00 6.887925946528396541e-98
1.141046799530000655e+00 1.373280724832308763e+01 7.277188981569395970e-98
1.270618673511565211e+00 1.178979164930025725e+01 7.408371516557340715e-98
1.509003985058684272e+00 1.326754064590699400e+01 7.568350076325206008e-98
1.506359102452933030e+00 1.311382384541608914e+01 7.815652405432175939e-98
1.663575863299263435e+00 1.340549252741262976e+01 8.451640807529819155e-98
1.341244327794022473e+00 1.338023558216412212e+01 8.684539548748415553e-98
1.479431525769955069e+00 1.137630942717792593e+01 8.737115567820058355e-98
1.130064633308837996e+00 9.948524694225277187e+00 8.740585337061065782e-98
1.242820979681985571e+00 9.843229921911753166e+00 9.527518267076079298e-98
1.673827282270011096e+00 1.424259464403306552e+01 1.004691793584296102e-97
1.259677508271735302e+00 1.109708420515977600e+01 1.045204886829575311e-97
1.164421742520386660e+00 9.416172018588934378e+00 1.044422387070261150e-97
1.722265354748810928e+00 1.491766834388161556e+01 1.114253754173086128e-97
1.500896520257298139e+00 1.328892674099633453e+01 1.154122273047014748e-97
1.511494690519797235e+00 1.381468117341606927e+01 1.504136403992611277e-97
1.487210380064989401e+00 1.200151202108151338e+01 1.512741761169118292e-97
1.573769881428243256e+00 1.198990344519398832e+01 1.545835131271965340e-97
1.443785913732100967e+00 1.091328271981859110e+01 1.544970512373437674e-97
1.131153581027488420e+00 9.363807072550248023e+00 1.661009503900148722e-97
1.248922347307697800e+00 8.747783691836204412e+00 1.796543609388515868e-97
1.032348451161658298e+00 1.105625529775711513e+01 1.881628207085891419e-97
1.506200175565599153e+00 1.316772260280411899e+01 1.978597256035307878e-97
1.726819447255571571e+00 1.395788261935776120e+01 1.980043796168727716e-97
1.060183447478094010e+00 8.167360799197549426e+00 2.165158013500787090e-97
1.517035736785439237e+00 1.263213765277843947e+01 2.197651830797832624e-97
1.283367409701323236e+00 1.114863479272930036e+01 2.447083889407224654e-97
1.343374967044016044e+00 1.197740086192093045e+01 2.691125202116034427e-97
1.301601264087096199e+00 1.099891407443653080e+01 2.876506928573664904e-97
1.342347829300149620e+00 9.419713649929319033e+00 2.890416320957796172e-97
1.350528986186348979e+00 1.236224127241280257e+01 2.904741692092182136e-97
1.656553483951302974e+00 1.423649877402872832e+01 3.328500186990392715e-97
1.082327059127066837e+00 9.585663458953046501e+00 3.382839923765958784e-97
1.681027391173138597e+00 1.163082184927127471e+01 3.451888484542494801e-97
1.187866506085920371e+00 9.151049542384949831e+00 3.661556219681025329e-97
1.174677226281846787e+00 1.098710498794702417e+01 4.223397213110314129e-97
1.272262241942045291e+00 1.331648006867913381e+01 4.773407339049593531e-97
2.018630456670790885e+00 1.494952586851037069e+01 4.837368922120097756e-97
1.928794326828266792e+00 1.313330425991721029e+01 5.113445503625846084e-97
1.023057789467389789e+00 1.213016391686739937e+01 5.166631076897605099e-97
1.306978243766164116e+00 1.138818363509589560e+01 5.833618356848548024e-97
1.258659350722868941e+00 1.022377043557937171e+01 5.960709130501522848e-97
1.999355063157632451e+00 1.530302266812913459e+01 6.038424787082354470e-97
1.126986747117821652e+00 1.350651356534964620e+01 6.227429526352583959e-97
1.320788196522333147e+00 1.253934259102720361e+01 6.353680590382518529e-97
1.088749716347005236e+00 9.852252961999450775e+00 6.386553361623154671e-97
1.095335392447505329e+00 1.383324959804464171e+01 7.026603660565165463e-97
1.469055940750284561e+00 1.129263299879982085e+01 7.126856423346827521e-97
1.169060635383706748e+00 1.286503582384543520e+01 7.291493391014376919e-97
1.101980333886946717e+00 1.054518257369604939e+01 8.444235527134603663e-97
1.115142874015001340e+00 1.382478462418789178e+01 8.635831897418728566e-97
1.145637788885836672e+00 1.030660745310263771e+01 8.831252583652737450e-97
1.925291139093042947e+00 1.425507806928845511e+01 9.311788471768393930e-97
1.587238362031298422e+00 1.153724213040642255e+01 1.117414041822228370e-96
1.943917925908527966e+00 1.346214451729178663e+01 1.118537657949034711e-96
1.247891593297346891e+00 1.280732112299312320e+01 1.121524331369138346e-96
1.706401548472375795e+00 1.347723300234733657e+01 1.176473900141937469e-96
1.530559766084839568e+00 1.255882349544568299e+01 1.205536748076588292e-96
1.029119227508623169e+00 8.566946114319071270e+00 1.243411441224052923e-96
1.672938320898231801e+00 1.262309025172874399e+01 1.316581100434375088e-96
1.400677051097257042e+00 1.428691464096512576e+01 1.382819804156341964e-96
1.649068224732017196e+00 1.272087353250432784e+01 1.438707499250443054e-96
1.736990542455191466e+00 1.510256862172373715e+01 1.551100916967939471e-96
1.264135052643407420e+00 1.419736901376628424e+01 1.554424274371471720e-96
1.931610146539519235e+00 1.525616294439997844e+01 1.570170030590447584e-96
1.340973755976545334e+00 1.129049180744939207e+01 1.597818495136620212e-96
1.198672559324614362e+00 1.005383713718714844e+01 1.904895838929682327e-96
1.253964204529586901e+00 9.329714623596228051e+00 2.349849246380456933e-96
1.511481883596982989e+00 1.291295868058533003e+01 2.437327132118711415e-96
1.915167438121813115e+00 1.561339613898067213e+01 2.466889097889059957e-96
1.027686933200185448e+00 7.527970155671583896e+00 2.470130041274603666e-96
1.317874824877716788e+00 9.735666256804886842e+00 2.693955420230494735e-96
1.500313624791842493e+00 1.329780675418492919e+01 3.484678130898726012e-96
1.460211118484636028e+00 1.171487351342672056e+01 3.656823243821989469e-96
1.145194116485585445e+00 9.002765679547749755e+00 3.668732049799982660e-96
1.288355647587089869e+00 1.139170013887562760e+01 4.262437289526220988e-96
1.414405243407578894e+00 1.279316729075575054e+01 4.451640470724290381e-96
1.096581826850916208e+00 1.041194909132603108e+01 4.448830922069850015e-96
1.252037626674465276e+00 1.164588520902003665e+01 4.451103248884948775e-96
1.800937755487264980e+00 1.497907288819345695e+01 5.522988931356994602e-96
1.085470960847815913e+00 8.055073703675862618e+00 5.665391850757339297e-96
1.386447551033041403e+00 1.455354771109166023e+01 5.772264146334537591e-96
1.020040638173110414e+00 9.441978477519056057e+00 6.085919850941406373e-96
1.238266724836887045e+00 1.133849882357344008e+01 6.120686083996519443e-96
1.128215253527989015e+00 9.367813246116732273e+00 6.367652988132114282e-96
1.561587518651768480e+00 1.241552155721333506e+01 6.494103942138200095e-96
