# Radius Mass
7.5133 1.6556
8.0442 1.6586
8.5605 1.6526
9.1062 1.6254
9.4897 1.5559
9.8142 1.4773
10.1386 1.3746
10.4263 1.2659
10.7065 1.1360
10.9130 0.9909
11.1047 0.8489
11.2153 0.6737
11.2448 0.5619
11.2301 0.5076
12.5428 0.5045
12.7640 0.6103
12.9115 0.7221
13.0074 0.8580
13.0221 0.9819
12.9558 1.1224
12.8156 1.2568
12.5649 1.4139
12.3363 1.5196
12.0782 1.6103
11.7463 1.7039
11.3333 1.8021
10.9941 1.8640
10.6401 1.9124
10.1829 1.9607
9.6519 1.9698
9.3201 1.9637
8.8628 1.9456
8.4425 1.8520
9.0177 1.8746
9.5855 1.8761
9.9764 1.8610
10.3746 1.8051
10.7802 1.7311
11.1563 1.6465
11.4587 1.5589
11.7021 1.4683
11.9528 1.3595
12.1740 1.2296
12.3068 1.1057
12.3805 0.9879
12.3805 0.8640
12.3068 0.7704
12.2035 0.7100
11.9086 0.6647
11.7684 0.6722
11.5914 0.7764
11.4440 0.8988
11.1268 1.0997
10.9204 1.2115
10.7212 1.2961
10.4041 1.4169
10.1755 1.4879
9.9248 1.5589
9.5044 1.6526
9.3201 1.6828
9.0398 1.6994
8.7522 1.7100
8.3909 1.7160
7.8525 1.7221
