#  R_68  M_68     R_90   M_90    R_95   M_95
9.0000 1.8862    12.4274 0.5000   9.0000 1.6045
9.2794 1.8881    12.5920 0.5858   9.3392 1.5840
9.5887 1.8899    12.7167 0.6810   9.6286 1.5560
9.9279 1.8843    12.7716 0.7481   9.9379 1.5131
10.2921 1.8731   12.7966 0.8246   10.2173 1.4608
10.5865 1.8563   12.7816 0.9160   10.4169 1.4179
10.9108 1.8302   12.7118 0.9963   10.6763 1.3507
11.2450 1.7929   12.5920 1.0877   10.8559 1.2966
11.5743 1.7519   12.4673 1.1660   11.0754 1.2239
11.8736 1.7052   12.3076 1.2444   11.2151 1.1660
12.1031 1.6623   12.1330 1.3172   11.3598 1.0914
12.3476 1.5970   11.9385 1.3899   11.4994 1.0075
12.6070 1.5187   11.7339 1.4515   11.6142 0.9198
12.8564 1.4366   11.5094 1.5149   11.6890 0.8209
13.0959 1.3507   11.2151 1.5821   11.7239 0.7463
13.2905 1.2631   10.9906 1.6213   11.7040 0.6698
13.4302 1.1866   10.7262 1.6642   11.6341 0.5840
13.5349 1.1101   10.4368 1.6996   11.5194 0.5000
13.6447 1.0037   10.2073 1.7257   18.0000 0.5000
13.6547 0.9123   9.9080 1.7463    18.0000 2.6511
13.6197 0.8321   9.6286 1.7612    17.6358 2.7108
13.5549 0.7593   9.3343 1.7705    17.1519 2.7743
13.4451 0.6642   9.0000 1.7761    16.7129 2.8172
13.3104 0.5858   9.0100 2.3060    16.3537 2.8470
13.1159 0.5000   9.2894 2.3489    15.9945 2.8694
18.0000 0.5000   9.5987 2.3899    15.6452 2.8881
18.0000 0.8955   9.9629 2.4366    15.2960 2.8993
17.9401 0.9142   10.3720 2.4851   14.9767 2.9067
17.9152 1.0485   10.8858 2.5354   14.6524 2.9086
17.8453 1.2108   11.6840 2.6007   14.2134 2.9086
17.7256 1.3563   12.1330 2.6287   13.8692 2.9011
17.5161 1.5373   12.5521 2.6530   13.5399 2.8881
17.3215 1.6679   12.9512 2.6642   13.0261 2.8601
17.0870 1.7966   13.3803 2.6698   12.6120 2.8284
16.8675 1.8918   13.6996 2.6660   12.1380 2.7873
16.5831 1.9925   14.3032 2.6455   11.6940 2.7500
16.0443 2.1381   14.8670 2.6119   11.1452 2.6903
15.6602 2.2201   15.4557 2.5560   10.7761 2.6455
15.3259 2.2761   15.9146 2.5019   10.2422 2.5746
15.0216 2.3209   16.3038 2.4459   9.8481 2.5149
14.5776 2.3843   16.6231 2.3918   9.4590 2.4552
14.2084 2.4291   17.0571 2.3022   9.2095 2.4104
13.9390 2.4534   17.3664 2.2313   9.0000 2.3694
13.5649 2.4795   17.6408 2.1567   9.0000 1.6045
13.3104 2.4925   18.0000 2.0429    NaN     NaN     
13.0111 2.5037   18.0000 0.5000	   NaN     NaN     
12.6818 2.5075   12.4274 0.5000    NaN     NaN     
12.4174 2.5075    NaN     NaN      NaN     NaN     
12.0482 2.5019    NaN     NaN      NaN     NaN     
11.7489 2.4907    NaN     NaN      NaN     NaN     
11.3847 2.4701    NaN     NaN      NaN     NaN     
11.1203 2.4534    NaN     NaN      NaN     NaN     
10.8758 2.4366    NaN     NaN       NaN     NaN     
10.5266 2.4142    NaN     NaN       NaN     NaN     
10.2572 2.3862    NaN     NaN       NaN     NaN     
10.0078 2.3619    NaN     NaN       NaN     NaN     
9.7433 2.3377     NaN     NaN       NaN     NaN     
9.4889 2.3060     NaN     NaN       NaN     NaN     
9.3193 2.2836     NaN     NaN       NaN     NaN     
9.0000 2.2519     NaN     NaN       NaN     NaN    
9.0000 1.8862   NaN     NaN       NaN     NaN 
