# R_90  M_90      R_99    M_99
8.0000 1.5403    12.4427 0.5000 
8.3874 1.5149    12.5763 0.5856 
8.7595 1.4767    12.6908 0.6832 
9.0840 1.4279	 12.7672 0.7723 
9.4847 1.3557	 12.8053 0.8529 
9.8282 1.2666	 12.8053 0.9696 
10.0477 1.1924	 12.7863 1.0566 
10.2958 1.0905	 12.7004 1.1711 
10.4676 0.9802	 12.5954 1.2857 
10.5725 0.8678	 12.4618 1.4003 
10.5916 0.8083	 12.2805 1.5085 
10.5725 0.7129	 11.8989 1.6252 
10.5344 0.6365	 11.5267 1.7058 
10.4771 0.5686	 11.2118 1.7567 
10.4008 0.5000	 10.7538 1.8161 
8.0000  0.5000	 10.1336 1.8692 
8.0000  1.5403	 9.6279 1.8925  
NaN     NaN	 9.2271 1.8989  
NaN     NaN	 8.8359 1.8989  
NaN     NaN	 8.4351 1.8904  
NaN     NaN	 8.0000 1.8000
NaN     NaN	 8.0000 0.5000
NaN     NaN	 12.4427 0.5000 
