# R_68    M_68      R_90    M_90    R_99     M_99
8.00000 1.91753   8.00000 2.02452  8.00000 2.14636 
8.34399 1.95022   8.29107 2.05721  8.27784 2.18796 
8.80706 1.98588   8.66152 2.09584  8.60860 2.23848 
9.19074 2.00371   9.05843 2.13447  9.04520 2.29495 
9.54796 2.02749   9.54796 2.17311  9.29658 2.32764 
9.98456 2.03640   10.0375 2.20877  9.40243 2.33952 
10.3153 2.04532   10.3682 2.23254  15.3032 2.34250 
10.8842 2.04532   10.7652 2.24740  15.5017 2.28900 
11.1753 2.03938   11.1753 2.26226  15.6736 2.24146 
11.4267 2.03046   11.4531 2.27117  15.8721 2.17608 
11.6648 2.00966   12.2205 2.26820  16.0573 2.10475 
11.8633 1.98588   12.3925 2.25631  16.2558 2.02155 
11.9824 1.95617   12.5910 2.23254  16.4278 1.93834 
12.1279 1.91456   12.7497 2.21174  16.5998 1.85513 
12.2867 1.86999   12.9217 2.17905  16.7585 1.76597 
12.4322 1.81649   13.0937 2.13744  16.8512 1.68871 
12.5645 1.76894   13.3583 2.06612  16.9305 1.59361 
12.6836 1.71842   13.5700 2.00074  16.9835 1.52229 
12.8291 1.66196   13.8611 1.90862  17.0232 1.43611 
12.9614 1.59064   14.0992 1.81352  17.0496 1.37370 
13.1069 1.50149   14.3241 1.70059  17.0628 1.20134 
13.1996 1.43314   14.4961 1.58470  17.0232 1.12704 
13.3054 1.35587   14.6549 1.47474  16.9438 1.04086 
13.3848 1.26969   14.7475 1.37667  16.8512 0.957652 
13.4377 1.17162   14.8004 1.28158  16.7453 0.877415 
13.4642 1.06166   14.8137 1.23106  16.6130 0.806092 
13.4642 0.969539  14.8269 1.05869  16.4542 0.737741 
13.4245 0.892273  14.7740 0.987370 16.2690 0.666419 
13.3583 0.806092  14.7211 0.901189 16.0838 0.612927 
13.2789 0.731798  14.6152 0.815007 15.8721 0.553492 
13.1466 0.651560  14.5094 0.743685 15.6604 0.500000
13.0011 0.589153  14.3771 0.675334 8.00000 0.500000
12.9085 0.544577  14.2183 0.609955 8.00000 2.14636 
12.7894 0.500000  14.0463 0.547548    NaN      NaN 
8.85998 0.500000  13.9008 0.500000    NaN      NaN 
8.88644 0.538633  8.30430 0.500000    NaN      NaN 
8.93936 0.604012  8.34399 0.541605    NaN      NaN 
8.96582 0.663447  8.38368 0.598068    NaN      NaN 
9.00551 0.749629  8.41014 0.693165    NaN      NaN 
8.97905 0.809064  8.41014 0.743685    NaN      NaN 
8.93936 0.874443  8.35722 0.815007    NaN      NaN 
8.85998 0.957652  8.30430 0.904160    NaN      NaN 
8.78060 1.03789   8.18523 0.960624    NaN      NaN 
8.64829 1.09733   8.00000 1.02303     NaN      NaN 
8.41014 1.16270   8.00000 2.02452     NaN      NaN  
8.19846 1.20728      NaN      NaN     NaN      NaN 
8.00000 1.24294      NaN      NaN     NaN      NaN 
8.00000 1.91753      NaN      NaN     NaN      NaN 
