# R_1s  M_1s     R_2s   M_2s    R_3s   M_3s
5.0000 1.3996   8.3405 0.5000  5.0000 0.9827
6.0776 1.4752   8.2974 0.6048  5.9483 0.9698
7.1121 1.5335   8.1250 0.7819  6.3362 0.9179
8.1034 1.5961   7.8017 0.9762  6.3362 0.8229
8.5776 1.6091   7.4138 1.1058  6.3793 0.7322
8.9871 1.5529   6.8966 1.1685  6.3793 0.6242
9.4828 1.4363   6.0345 1.1836  6.7026 0.5000
10.0647 1.3283  5.0000 1.1836  25.1293 0.5000
10.7112 1.1987  5.0000  1.3996 26.0345 0.7451
10.8836 1.0000  10.9267 3.0000 26.9828 1.0130
11.0129 0.8186  20.9914 3.0000 27.9310 1.2981
10.9052 0.6285  21.1207 2.7495 28.5776 1.5616
10.6034 0.5000  21.5948 2.5205 29.0086 1.8855
14.3319 0.5000  21.7241 2.2873 28.8793 2.1490
15.0647 0.6371  21.8966 2.1058 28.8793 2.4514
15.4957 0.8078  22.0690 1.8423 28.7931 2.7106
15.5172 0.9806  22.2845 1.6004 28.6207 3.0000
15.9052 1.1857  21.8966 1.3499 10.9267 3.0000
15.9914 1.4320  21.3793 1.0994 5.0000  1.3996
16.1207 1.6177  20.5172 0.8013 5.0000 0.9827
15.6034 1.8251  19.8276 0.6069   NaN     NaN
15.0431 2.0216  19.5259 0.5000   NaN     NaN   
14.3966 2.2419  8.3405 0.5000    NaN     NaN
13.3190 2.2959    NaN    NaN     NaN     NaN
11.9181 2.3283    NaN    NaN     NaN     NaN
10.2155 2.3132    NaN    NaN     NaN     NaN
8.6638 2.2873     NaN    NaN     NaN     NaN
8.0500 2.2225     NaN    NaN     NaN     NaN
5.0000 1.3996     NaN    NaN     NaN     NaN
