# Radius Mass
5.98677 1.59123 
6.31753 1.62065 
6.78060 1.65542 
7.30981 1.68752 
7.69350 1.71159 
8.06395 1.73299 
8.50055 1.75171 
8.91069 1.75706 
9.26792 1.75171 
9.62514 1.73834 
9.99559 1.71961 
10.3925 1.67147 
10.7100 1.62333 
11.0276 1.55646 
11.3716 1.47623 
11.6362 1.39064 
11.9272 1.27831 
12.1654 1.17400 
12.3374 1.08306 
12.5226 0.968054 
12.6549 0.861070 
12.7343 0.783507 
12.7740 0.700594 
12.8004 0.631055 
12.8004 0.548143 
12.7607 0.500000 
9.63837 0.500000 
9.63837 0.572214 
9.62514 0.649777 
9.55899 0.748737 
9.40022 0.866419 
9.16207 0.954681 
8.91069 1.02957 
8.65932 1.09643 
8.31532 1.16330 
8.03749 1.20342 
7.68026 1.25423 
7.42889 1.28366 
7.15105 1.30773 
6.88644 1.32912 
6.66152 1.33982 
6.47630 1.35052 
6.21169 1.34785 
5.98677 1.34785 


2.22 3.0
13.34 3.0
2.22 0.5

