# R_68    M_68      R_90    M_90    R_99     M_99
5.98677 1.59123  5.98677 1.62333   6.00000 1.67415 
6.31753 1.62065  6.23815 1.66077   6.18523 1.70357 
6.78060 1.65542  6.59537 1.70357   6.37045 1.73834 
7.30981 1.68752  7.00551 1.74903   6.59537 1.77578 
7.69350 1.71159  7.46858 1.78113   6.93936 1.83195 
8.06395 1.73299  7.91841 1.81857   7.29658 1.86939 
8.50055 1.75171  8.38148 1.84264   7.74780 1.91454 
8.91069 1.75706  8.72547 1.86137   8.13326 1.94800 
9.26792 1.75171  9.10915 1.88276   8.55727 1.98309 
9.62514 1.73834  9.65160 1.89079   8.92731 2.01001 
9.99559 1.71961  10.1279 1.87474   9.32048 2.03368 
10.3925 1.67147  10.3131 1.85869   9.65198 2.04755 
10.7100 1.62333  10.8291 1.81322   10.0760 2.06142 
11.0276 1.55646  11.4112 1.74101   10.5154 2.06469 
11.3716 1.47623  11.7949 1.67682   10.9086 2.06142 
11.6362 1.39064  12.2051 1.56984   11.2247 2.04755 
11.9272 1.27831  12.4961 1.47623   11.5330 2.02307 
12.1654 1.17400  12.7740 1.37192   11.8260 1.99777 
12.3374 1.08306  13.1047 1.23016   12.1883 1.96350 
12.5226 0.968054 13.3297 1.09911   12.5352 1.91862 
12.6549 0.861070 13.5149 0.954681  12.8051 1.87047 
12.7343 0.783507 13.6340 0.820951  12.8534 1.86672 
12.7740 0.700594 13.6736 0.727340  13.0121 1.82660 
12.8004 0.631055 13.6604 0.615007  13.2900 1.75706 
12.8004 0.548143 13.6207 0.545468  13.5943 1.67682 
12.7607 0.500000 13.5810 0.500000  13.9647 1.55914 
9.63837 0.500000 9.09592 0.500000  14.2029 1.46553 
9.63837 0.572214 9.06946 0.590936  14.4278 1.35587 
9.62514 0.649777 9.00331 0.679198  14.6792 1.21679 
9.55899 0.748737 8.87100 0.764785  14.8512 1.08574 
9.40022 0.866419 8.69901 0.853046  14.9702 0.973403 
9.16207 0.954681 8.46086 0.935958  15.0232 0.858395 
8.91069 1.02957  8.24917 1.00550   15.0232 0.697920 
8.65932 1.09643  7.98456 1.06701   14.9967 0.620357 
8.31532 1.16330  7.61411 1.12585   14.9570 0.548143 
8.03749 1.20342  7.25689 1.17667   14.8908 0.500000
7.68026 1.25423  6.83352 1.22481   8.34179 0.500000 
7.42889 1.28366  6.38368 1.25691   8.28886 0.596285 
7.15105 1.30773  6.00000 1.26761   8.18302 0.673848 
6.88644 1.32912  6.00000 1.62333   8.05072 0.748737 
6.66152 1.33982    NaN     NaN     7.87872 0.823626 
6.47630 1.35052    NaN     NaN     7.69350 0.893165 
6.21169 1.34785    NaN     NaN     7.46858 0.954681 
6.00000 1.34785    NaN     NaN      7.20397 1.00550 
6.00000 1.59123    NaN     NaN      6.93936 1.05097 
  NaN     NaN      NaN     NaN      6.58214 1.10178 
  NaN     NaN      NaN     NaN      6.26461 1.13388 
  NaN     NaN      NaN     NaN      6.00000 1.15527
  NaN     NaN      NaN     NaN    6.00000 1.67415 
